microseconds, optical_contrast
1.500000000000000118e-02 -4.925499858765510774e-01
1.750000000000000167e-02 -4.933005565083004584e-01
2.000000000000000042e-02 -6.617802563678457650e-01
2.249999999999999917e-02 -7.049707361305781461e-01
2.499999999999999792e-02 -7.722674704127221457e-01
2.750000000000000014e-02 -1.074763044692409908e+00
3.000000000000000236e-02 -1.300247983743192837e+00
3.250000000000000111e-02 -1.333190298969323395e+00
3.500000000000000333e-02 -1.899172607501305121e+00
3.749999999999999861e-02 -2.143610370003281584e+00
4.000000000000000083e-02 -2.512446165395703979e+00
4.250000000000000305e-02 -2.821091971226679096e+00
4.499999999999999833e-02 -3.115078270222721102e+00
4.750000000000000056e-02 -3.554474035971057155e+00
4.999999999999999584e-02 -4.004768091025404431e+00
5.249999999999999806e-02 -4.535241404776659380e+00
5.500000000000000028e-02 -4.861693141314875177e+00
5.749999999999999556e-02 -5.205018713006773545e+00
6.000000000000000472e-02 -5.837889122603579395e+00
6.250000000000000000e-02 -6.183991804785106794e+00
6.500000000000000222e-02 -6.506528833451996618e+00
6.750000000000000444e-02 -6.825927611604337919e+00
7.000000000000000666e-02 -6.904219153533959208e+00
7.250000000000000888e-02 -7.083863215093121113e+00
7.499999999999999722e-02 -7.292141190193570210e+00
7.749999999999999944e-02 -7.174536937769049771e+00
8.000000000000000167e-02 -7.357271937660295080e+00
8.250000000000000389e-02 -7.509648931306196928e+00
8.500000000000000611e-02 -7.463369585831014064e+00
8.749999999999999445e-02 -7.488682859601522246e+00
8.999999999999999667e-02 -7.199670725138804350e+00
9.249999999999999889e-02 -7.228165175183680624e+00
9.500000000000000111e-02 -7.110942512431867257e+00
9.750000000000000333e-02 -6.861175989675108333e+00
9.999999999999999167e-02 -6.598631040738904829e+00
1.024999999999999939e-01 -6.607409310552678328e+00
1.049999999999999961e-01 -6.337968462027925298e+00
1.074999999999999983e-01 -5.998763753245152763e+00
1.100000000000000006e-01 -5.541736460193181557e+00
1.125000000000000028e-01 -5.192515821636205509e+00
1.149999999999999911e-01 -5.062796029011665588e+00
1.174999999999999933e-01 -4.566665074441993433e+00
1.200000000000000094e-01 -4.202318673980010466e+00
1.224999999999999978e-01 -4.038023908973059406e+00
1.250000000000000000e-01 -3.578651097182043106e+00
1.275000000000000022e-01 -3.027049740872870487e+00
1.300000000000000044e-01 -2.949855424287891825e+00
1.325000000000000067e-01 -2.337678404268922705e+00
1.350000000000000089e-01 -2.225924867417209185e+00
1.375000000000000111e-01 -1.933669786162371063e+00
1.400000000000000133e-01 -1.784895706884711775e+00
1.425000000000000155e-01 -1.514292728659763165e+00
1.450000000000000178e-01 -1.286130988812571596e+00
1.474999999999999922e-01 -1.025922910327957238e+00
1.499999999999999944e-01 -9.879875046939857741e-01
1.524999999999999967e-01 -9.302582420616573033e-01
1.549999999999999989e-01 -9.864202265632440181e-01
1.575000000000000011e-01 -9.253682398723327429e-01
1.600000000000000033e-01 -9.454861446046236573e-01
1.625000000000000056e-01 -8.637388826811016607e-01
1.650000000000000078e-01 -9.205414775317182219e-01
1.675000000000000100e-01 -1.215189956846338903e+00
1.700000000000000122e-01 -1.144618748003063180e+00
1.725000000000000144e-01 -1.251106608658671959e+00
1.749999999999999889e-01 -1.657523659487937229e+00
1.774999999999999911e-01 -1.709888457943857576e+00
1.799999999999999933e-01 -1.991539008664558130e+00
1.824999999999999956e-01 -2.268297428861644427e+00
1.849999999999999978e-01 -2.502519176249978106e+00
1.875000000000000000e-01 -2.788590905753802751e+00
1.900000000000000022e-01 -2.942686112931152564e+00
1.925000000000000044e-01 -3.340160653838347926e+00
1.950000000000000067e-01 -3.634481340920868497e+00
1.975000000000000089e-01 -3.828214067379353214e+00
1.999999999999999833e-01 -4.219027852766200404e+00
2.024999999999999856e-01 -4.713425200099012891e+00
2.049999999999999878e-01 -4.901838725449378487e+00
2.074999999999999900e-01 -5.066455179645799056e+00
2.099999999999999922e-01 -5.372220803505965314e+00
2.124999999999999944e-01 -5.560427358394846031e+00
2.149999999999999967e-01 -5.632410007711561306e+00
2.174999999999999989e-01 -5.990464142268265846e+00
2.200000000000000011e-01 -6.010962321557038912e+00
2.225000000000000033e-01 -6.259210724891777211e+00
2.250000000000000056e-01 -6.243173064618002144e+00
2.274999999999999800e-01 -6.333970912216195792e+00
2.299999999999999822e-01 -6.295303985512620493e+00
2.324999999999999845e-01 -6.442395309219134170e+00
2.349999999999999867e-01 -6.407162133868787635e+00
2.374999999999999889e-01 -6.317066057975970317e+00
2.400000000000000189e-01 -5.979679786182951595e+00
2.425000000000000211e-01 -6.079768342635108347e+00
2.449999999999999956e-01 -6.123832274694671618e+00
2.475000000000000255e-01 -5.842537015466142236e+00
2.500000000000000000e-01 -5.704237483011084464e+00
2.525000000000000022e-01 -5.456111589193888278e+00
2.550000000000000044e-01 -5.245553324174678345e+00
2.575000000000000067e-01 -5.118929968504228434e+00
2.600000000000000089e-01 -4.691339269201305839e+00
2.625000000000000111e-01 -4.511422173469126662e+00
2.650000000000000133e-01 -4.300365979811266115e+00
2.674999999999999600e-01 -4.014844804318496330e+00
2.700000000000000178e-01 -3.831715957784635140e+00
2.724999999999999645e-01 -3.644467122596601438e+00
2.750000000000000222e-01 -3.228473675776497132e+00
2.774999999999999689e-01 -3.161787329588895634e+00
2.800000000000000266e-01 -2.977709042169297327e+00
2.824999999999999734e-01 -2.679645965032934729e+00
2.850000000000000311e-01 -2.608821805658476656e+00
2.874999999999999778e-01 -2.425654389813449274e+00
2.900000000000000355e-01 -2.396059779806373857e+00
2.924999999999999822e-01 -2.269904651634579107e+00
2.949999999999999845e-01 -2.165262896493922007e+00
2.974999999999999867e-01 -1.865331781986814041e+00
2.999999999999999889e-01 -2.025823686553864800e+00
3.024999999999999911e-01 -1.725366445309172603e+00
3.049999999999999933e-01 -1.720734942846048332e+00
3.074999999999999956e-01 -1.721476820273756925e+00
3.099999999999999978e-01 -1.838562470463162679e+00
3.125000000000000000e-01 -1.911893801078974997e+00
3.150000000000000022e-01 -1.967960368781348279e+00
3.175000000000000044e-01 -1.821919527964347640e+00
3.200000000000000067e-01 -2.196624698633806716e+00
3.225000000000000089e-01 -2.161596972295282804e+00
3.250000000000000111e-01 -2.374776563396622908e+00
3.275000000000000133e-01 -2.359451965233123616e+00
3.300000000000000155e-01 -2.421369287924363345e+00
3.325000000000000178e-01 -2.712652746612491228e+00
3.350000000000000200e-01 -2.994094954192382474e+00
3.375000000000000222e-01 -3.079947521322555115e+00
3.400000000000000244e-01 -3.312142046504261916e+00
3.425000000000000266e-01 -3.250504536701545710e+00
3.450000000000000289e-01 -3.498954415140940188e+00
3.475000000000000311e-01 -3.655928704728880874e+00
3.499999999999999778e-01 -3.868455349913294761e+00
3.525000000000000355e-01 -4.008156266271900137e+00
3.549999999999999822e-01 -3.867084902474491326e+00
3.575000000000000400e-01 -4.284845017210215268e+00
3.599999999999999867e-01 -4.577547794063105968e+00
3.625000000000000444e-01 -4.510041172316672231e+00
3.649999999999999911e-01 -4.574290732267993320e+00
3.675000000000000488e-01 -4.619491818729240862e+00
3.699999999999999956e-01 -4.702728541907300830e+00
3.725000000000000533e-01 -4.906090113880182457e+00
3.750000000000000000e-01 -4.948355622220079297e+00
3.775000000000000022e-01 -5.030549931772096528e+00
3.800000000000000044e-01 -4.843619093888029248e+00
3.825000000000000067e-01 -5.083319098158352034e+00
3.850000000000000089e-01 -5.193630097270760970e+00
3.875000000000000111e-01 -5.074801704332188912e+00
3.900000000000000133e-01 -4.954388328166319688e+00
3.925000000000000155e-01 -5.037819971487455639e+00
3.950000000000000178e-01 -5.287952677237789167e+00
3.975000000000000200e-01 -4.803469277823124273e+00
3.999999999999999667e-01 -4.933786495364597791e+00
4.025000000000000244e-01 -4.743515840624203506e+00
4.049999999999999711e-01 -4.740131983609799704e+00
4.075000000000000289e-01 -4.474788092689567343e+00
4.099999999999999756e-01 -4.622423361522193908e+00
4.125000000000000333e-01 -4.380392309224776959e+00
4.149999999999999800e-01 -4.407579104467760800e+00
4.175000000000000377e-01 -4.169052809817648253e+00
4.199999999999999845e-01 -3.979191995497224799e+00
4.225000000000000422e-01 -3.835009036572517793e+00
4.249999999999999889e-01 -3.836977605651961554e+00
4.274999999999999911e-01 -3.666979921416543942e+00
4.299999999999999933e-01 -3.539716981287973407e+00
4.324999999999999956e-01 -3.447566622777373802e+00
4.349999999999999978e-01 -3.548495416492364996e+00
4.375000000000000000e-01 -3.347406290026062159e+00
4.400000000000000022e-01 -3.263243148188359033e+00
4.425000000000000044e-01 -3.003883498355832238e+00
4.450000000000000067e-01 -2.933363281059683469e+00
4.475000000000000089e-01 -3.007454827052143731e+00
4.500000000000000111e-01 -2.972220343372986573e+00
4.525000000000000133e-01 -2.860133608945146122e+00
4.549999999999999600e-01 -2.625084989966433469e+00
4.575000000000000178e-01 -2.763853304122887877e+00
4.599999999999999645e-01 -2.746931233044715981e+00
4.625000000000000222e-01 -2.590416697652512479e+00
4.649999999999999689e-01 -2.737501000216957081e+00
4.675000000000000266e-01 -2.596599946293199679e+00
4.699999999999999734e-01 -2.455758829643603036e+00
4.725000000000000311e-01 -2.634037944674475273e+00
4.749999999999999778e-01 -2.585707184391618174e+00
4.774999999999999800e-01 -2.485475458932573378e+00
4.800000000000000377e-01 -2.762112056650919190e+00
4.825000000000000400e-01 -2.663579176779431457e+00
4.850000000000000422e-01 -2.750556664207266078e+00
4.874999999999999889e-01 -2.677891960540156990e+00
4.899999999999999911e-01 -2.874871417771397653e+00
4.925000000000000488e-01 -2.959259632159851439e+00
4.950000000000000511e-01 -2.854096056873606901e+00
4.974999999999999978e-01 -3.049137886910711082e+00
5.000000000000000000e-01 -2.923860116924647201e+00
5.025000000000000577e-01 -3.311750152259626656e+00
5.050000000000000044e-01 -3.325128139023919793e+00
5.075000000000000622e-01 -3.319098753737918184e+00
5.100000000000000089e-01 -3.353495833946017690e+00
5.124999999999999556e-01 -3.448606536777640397e+00
5.150000000000000133e-01 -3.543577261046860993e+00
5.175000000000000711e-01 -3.625391865062977725e+00
5.200000000000000178e-01 -3.701072378307245003e+00
5.224999999999999645e-01 -3.797154735418147631e+00
5.250000000000000222e-01 -3.838720729124957209e+00
5.275000000000000799e-01 -3.768057513065506292e+00
5.300000000000000266e-01 -4.020232841134051327e+00
5.324999999999999734e-01 -3.943897999364353257e+00
5.349999999999999201e-01 -4.119887259256688417e+00
5.375000000000000888e-01 -4.121895032630386702e+00
5.400000000000000355e-01 -4.146287615628279077e+00
5.424999999999999822e-01 -4.200886092151938200e+00
5.449999999999999289e-01 -4.074674814693572955e+00
5.475000000000000977e-01 -4.246030238408695645e+00
5.500000000000000444e-01 -4.291858602869544903e+00
5.524999999999999911e-01 -4.174765067158505261e+00
5.549999999999999378e-01 -4.326598923693841137e+00
5.575000000000001066e-01 -4.240732174717502190e+00
5.600000000000000533e-01 -4.244896609588053593e+00
5.625000000000000000e-01 -4.155763028797161418e+00
5.649999999999999467e-01 -4.205566531374756778e+00
5.675000000000000044e-01 -4.237719521506742026e+00
5.700000000000000622e-01 -3.827295545090261264e+00
5.725000000000000089e-01 -4.079940135851915173e+00
5.749999999999999556e-01 -3.981185262339941744e+00
5.775000000000000133e-01 -3.883717526467113323e+00
5.800000000000000711e-01 -3.792582536969363538e+00
5.825000000000000178e-01 -4.074315434229395905e+00
5.849999999999999645e-01 -4.143511989298123588e+00
5.875000000000000222e-01 -3.763922122899018952e+00
5.899999999999999689e-01 -3.882563400335979686e+00
5.925000000000000266e-01 -3.692051432829573265e+00
5.949999999999999734e-01 -3.770060188825095970e+00
5.975000000000000311e-01 -3.726656204368691050e+00
5.999999999999999778e-01 -3.660654587477810029e+00
6.025000000000000355e-01 -3.570072852047230683e+00
6.049999999999999822e-01 -3.574130840874185200e+00
6.075000000000000400e-01 -3.623989686120892451e+00
6.099999999999999867e-01 -3.580578724135763391e+00
6.125000000000000444e-01 -3.341409922879735817e+00
6.149999999999999911e-01 -3.238781307378070462e+00
6.175000000000000488e-01 -3.321230702139811530e+00
6.199999999999999956e-01 -3.158135827539909624e+00
6.224999999999999423e-01 -3.305798095112223667e+00
6.250000000000000000e-01 -3.239235201243242823e+00
6.275000000000000577e-01 -3.096111725041518881e+00
6.300000000000000044e-01 -3.149949950280914290e+00
6.324999999999999512e-01 -3.200448582177621404e+00
6.350000000000000089e-01 -3.269643801215962320e+00
6.375000000000000666e-01 -3.123478617367473564e+00
6.400000000000000133e-01 -3.222851776594359841e+00
6.424999999999999600e-01 -3.181612281403642939e+00
6.450000000000000178e-01 -3.190735715094635605e+00
6.475000000000000755e-01 -3.210571175128907662e+00
6.500000000000000222e-01 -3.074496655945527124e+00
6.524999999999999689e-01 -3.318796927848075562e+00
6.550000000000000266e-01 -3.156783932886218835e+00
6.575000000000000844e-01 -3.128771778596020514e+00
6.600000000000000311e-01 -3.217196944344603349e+00
6.624999999999999778e-01 -3.240436738715832377e+00
6.650000000000000355e-01 -3.264323774370239128e+00
6.674999999999999822e-01 -3.393103061317957803e+00
6.700000000000000400e-01 -3.405611370430234430e+00
6.724999999999999867e-01 -3.346283808928380399e+00
6.750000000000000444e-01 -3.247814812764927339e+00
6.774999999999999911e-01 -3.472387848458116544e+00
6.800000000000000488e-01 -3.339209429522803418e+00
6.824999999999999956e-01 -3.334983386339210210e+00
6.850000000000000533e-01 -3.429971720428693693e+00
6.875000000000000000e-01 -3.428966973312182809e+00
6.900000000000000577e-01 -3.557660717145415319e+00
6.925000000000000044e-01 -3.601014677469839498e+00
6.950000000000000622e-01 -3.478717761882809345e+00
6.975000000000000089e-01 -3.694977123697205990e+00
6.999999999999999556e-01 -3.635260539403887492e+00
7.025000000000000133e-01 -3.571207127037149931e+00
7.050000000000000711e-01 -3.660786658062441745e+00
7.075000000000000178e-01 -3.646786394957949984e+00
7.099999999999999645e-01 -3.592254441641675733e+00
7.125000000000000222e-01 -3.772074005034165900e+00
7.150000000000000799e-01 -3.636740758369818582e+00
7.175000000000000266e-01 -3.692363901478553423e+00
7.199999999999999734e-01 -3.878934089307720878e+00
7.224999999999999201e-01 -3.736097899219749330e+00
7.250000000000000888e-01 -3.906986202176303991e+00
7.275000000000000355e-01 -3.811663084090131992e+00
7.299999999999999822e-01 -3.868520838787948612e+00
7.324999999999999289e-01 -3.774314468921514898e+00
7.350000000000000977e-01 -3.842808597302231455e+00
7.375000000000000444e-01 -3.718472330990539643e+00
7.399999999999999911e-01 -3.767378279812381159e+00
7.424999999999999378e-01 -3.504583177471086941e+00
7.450000000000001066e-01 -3.801317078848896802e+00
7.475000000000000533e-01 -3.760942048860440590e+00
7.500000000000000000e-01 -3.904719240539114455e+00
7.524999999999999467e-01 -3.736366168016239886e+00
7.550000000000000044e-01 -3.480808595209678558e+00
7.575000000000000622e-01 -3.799287948293682327e+00
7.600000000000000089e-01 -3.677367309850218646e+00
7.624999999999999556e-01 -3.611112945075705571e+00
7.650000000000000133e-01 -3.610995397921125338e+00
7.675000000000000711e-01 -3.590641006062955665e+00
7.700000000000000178e-01 -3.686696036987462843e+00
7.724999999999999645e-01 -3.664996208254694743e+00
7.750000000000000222e-01 -3.446435637593473711e+00
7.774999999999999689e-01 -3.483523429076587075e+00
7.800000000000000266e-01 -3.503195761671666464e+00
7.824999999999999734e-01 -3.528839435121389201e+00
7.850000000000000311e-01 -3.421563470956050068e+00
7.874999999999999778e-01 -3.518473098619809392e+00
7.900000000000000355e-01 -3.610064502284208388e+00
7.924999999999999822e-01 -3.476918601960746980e+00
7.950000000000000400e-01 -3.576450600611123853e+00
7.974999999999999867e-01 -3.406621912552691089e+00
7.999999999999999334e-01 -3.333724440977718029e+00
8.024999999999999911e-01 -3.519542704428198832e+00
8.050000000000000488e-01 -3.148461275523673830e+00
8.074999999999999956e-01 -3.364552647917467887e+00
8.099999999999999423e-01 -3.658665338152494062e+00
8.125000000000001110e-01 -3.418793540829622390e+00
8.150000000000000577e-01 -3.485523670125641793e+00
8.175000000000000044e-01 -3.444111656091038753e+00
8.199999999999999512e-01 -3.456160502462013451e+00
8.225000000000001199e-01 -3.474943014766609828e+00
8.250000000000000666e-01 -3.428668175286181174e+00
8.275000000000000133e-01 -3.449987200554910594e+00
8.299999999999999600e-01 -3.394020738715626706e+00
8.325000000000000178e-01 -3.624193849082939956e+00
8.350000000000000755e-01 -3.544525648631851489e+00
8.375000000000000222e-01 -3.494565549195514098e+00
8.399999999999999689e-01 -3.641878633750918137e+00
8.425000000000000266e-01 -3.548626638833655367e+00
8.450000000000000844e-01 -3.414264976705335464e+00
8.475000000000000311e-01 -3.457494869579641694e+00
8.499999999999999778e-01 -3.565116588434271705e+00
8.525000000000000355e-01 -3.524396145820361870e+00
8.549999999999999822e-01 -3.446901395083977526e+00
8.575000000000000400e-01 -3.376881666256461578e+00
8.599999999999999867e-01 -3.368194947666304451e+00
8.625000000000000444e-01 -3.591062713086092817e+00
8.649999999999999911e-01 -3.616711736653746456e+00
8.675000000000000488e-01 -3.476452223656196328e+00
8.699999999999999956e-01 -3.720173553678121525e+00
8.725000000000000533e-01 -3.596305707035432508e+00
8.750000000000000000e-01 -3.656519885156918281e+00
8.775000000000000577e-01 -3.616780541266785498e+00
8.800000000000000044e-01 -3.544443893816999314e+00
8.825000000000000622e-01 -3.646220881791498947e+00
8.850000000000000089e-01 -3.748122104825713841e+00
8.874999999999999556e-01 -3.645244008018746928e+00
8.900000000000000133e-01 -3.595319038197016148e+00
8.925000000000000711e-01 -3.619412378920272566e+00
8.950000000000000178e-01 -3.735809687967766468e+00
8.974999999999999645e-01 -3.515431384859408315e+00
9.000000000000000222e-01 -3.847190877825427346e+00
9.025000000000000799e-01 -3.642587872338669097e+00
9.050000000000000266e-01 -3.534359371023033880e+00
9.074999999999999734e-01 -3.559524714012483937e+00
9.099999999999999201e-01 -3.741755349431270083e+00
9.125000000000000888e-01 -3.446580928274511013e+00
9.150000000000000355e-01 -3.639294337590966766e+00
9.174999999999999822e-01 -3.777367766582580888e+00
9.199999999999999289e-01 -3.722733194769792142e+00
9.225000000000000977e-01 -3.633676212345781309e+00
9.250000000000000444e-01 -3.648799445104705441e+00
9.274999999999999911e-01 -3.538514474128250598e+00
9.299999999999999378e-01 -3.657480877036177525e+00
9.325000000000001066e-01 -3.532940756838172991e+00
9.350000000000000533e-01 -3.474010941805740771e+00
9.375000000000000000e-01 -3.600828561788650628e+00
9.399999999999999467e-01 -3.793314193009356128e+00
9.425000000000000044e-01 -3.734283021950543624e+00
9.450000000000000622e-01 -3.543453041981280638e+00
9.475000000000000089e-01 -3.758630096568064793e+00
9.499999999999999556e-01 -3.724833100680795983e+00
9.525000000000000133e-01 -3.627954728142730900e+00
9.549999999999999600e-01 -3.707459642151050172e+00
9.574999999999999067e-01 -3.614109586891665948e+00
9.600000000000000755e-01 -3.721355842057930907e+00
9.625000000000001332e-01 -3.383939338873013458e+00
9.650000000000000799e-01 -3.639353220319967885e+00
9.675000000000000266e-01 -3.665212033920150159e+00
9.700000000000000844e-01 -3.641601040339562001e+00
9.725000000000000311e-01 -3.640963853434505015e+00
9.749999999999999778e-01 -3.487764852479174227e+00
9.774999999999999245e-01 -3.674521829161371045e+00
9.799999999999999822e-01 -3.652239939255888412e+00
9.825000000000001510e-01 -3.648710181940564734e+00
9.850000000000000977e-01 -3.690593350860441824e+00
9.875000000000000444e-01 -3.567046125027337311e+00
9.900000000000001021e-01 -3.522122813011105968e+00
9.925000000000000488e-01 -3.652656530034111615e+00
9.949999999999999956e-01 -3.670198463561123781e+00
9.974999999999999423e-01 -3.377368359730380298e+00
1.000000000000000000e+00 -3.521815691645473922e+00
